name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Asse Belgium,2026-02-12,10.2,7.2,8.6,10.2,4.3,6.2,7.2,91.1,12.8,100,75,rain,0,0,42.5,24.4,265.4,980.6,92.2,14.5,58.9,5.2,4,10,2026-02-12T08:01:27,2026-02-12T17:54:16,0.84,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"EBBE,EBCV,EBAW,F4778,EBBR"
Asse Belgium,2026-02-13,6.7,2.2,5.2,5.7,-2.4,2.8,3.7,90.1,0.6,61.3,16.67,rain,0,0,34.9,19.1,36,992.6,98,23.4,10,0.8,0,10,2026-02-13T07:59:38,2026-02-13T17:56:04,0.87,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain.,rain,
Asse Belgium,2026-02-14,3.1,-1.4,0.8,0.1,-5.4,-2.9,-2.9,76.9,0.1,41.9,4.17,"rain,snow",0,0,39.2,20.9,14.1,1010.1,57.7,24.1,103.4,9,4,10,2026-02-14T07:57:47,2026-02-14T17:57:51,0.9,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
Asse Belgium,2026-02-15,2,-1.6,0.2,-1.5,-5,-3.4,-3.8,75.6,0.2,61.3,8.33,"rain,snow",0,0,40.3,22,180.8,1012.1,87.2,24.1,73.8,6.3,4,10,2026-02-15T07:55:55,2026-02-15T17:59:38,0.93,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain or snow.,rain,
Asse Belgium,2026-02-16,7.5,1.5,4.9,4.3,-3.3,1.1,3.2,88.8,5.2,96.8,33.33,rain,0,0,51.5,27.7,238.9,998.7,86.8,20.6,40.3,3.5,3,10,2026-02-16T07:54:02,2026-02-16T18:01:25,0.97,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,
Asse Belgium,2026-02-17,8.4,4.6,6.1,5.5,0.2,2.5,3.4,83,6.1,83.9,29.17,rain,0,0,47.5,23.8,233.1,1007.3,87.5,20.9,47.4,4.2,2,10,2026-02-17T07:52:07,2026-02-17T18:03:12,0,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain.,rain,
Asse Belgium,2026-02-18,9.1,1.8,5.4,6.7,-3.4,1.7,3.6,88.7,31.6,35.5,25,"rain,snow",0.4,0.2,55.8,28.4,345.6,1001.3,84.1,14,10.1,0.9,1,10,2026-02-18T07:50:11,2026-02-18T18:04:59,0.03,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
Asse Belgium,2026-02-19,6.3,1.4,3.7,1.7,-2.2,0,0.5,79.8,3.9,54.8,8.33,rain,0,0.2,67.3,33.5,184.5,1020.2,89,22.4,77.6,6.6,3,10,2026-02-19T07:48:14,2026-02-19T18:06:45,0.07,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,
Asse Belgium,2026-02-20,11.1,7,8.7,11.1,2.8,6.4,7.2,90.7,10.9,54.8,33.33,rain,0,0,66.6,40,202.1,1003.8,95.7,17.4,5,0.3,0,10,2026-02-20T07:46:16,2026-02-20T18:08:31,0.11,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain.,rain,
Asse Belgium,2026-02-21,9.1,3.8,6.8,5.9,0.7,3.1,3.3,79.1,5.2,61.3,16.67,rain,0,0,61.2,37.3,243.4,1003,59.1,23.5,105.9,9,4,10,2026-02-21T07:44:17,2026-02-21T18:10:17,0.14,"Rain, Partially cloudy",Clearing in the afternoon with late afternoon rain.,rain,
Asse Belgium,2026-02-22,9.1,2.4,5.3,6.2,-0.3,2.2,2.7,83.7,1.6,51.6,20.83,rain,0,0,41,23.4,302.9,1013.1,66.3,23.1,71.3,6,3,10,2026-02-22T07:42:16,2026-02-22T18:12:03,0.18,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain.,rain,
Asse Belgium,2026-02-23,6.7,2,4.8,4,0.1,1.9,-0.3,70.1,0.4,29,12.5,rain,0,0,36.2,19.1,334.2,1026.8,62.4,24.1,65.9,5.9,3,10,2026-02-23T07:40:15,2026-02-23T18:13:48,0.21,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
Asse Belgium,2026-02-24,7.2,0.1,3.1,5,-2.6,0.6,-2.3,69.2,0,32.3,0,,0,0,28.4,13.7,115.4,1032.4,39.2,24.1,117.9,10.5,4,10,2026-02-24T07:38:13,2026-02-24T18:15:33,0.25,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,
Asse Belgium,2026-02-25,6.7,0.6,3.9,2.9,-3.3,-0.2,-3.3,59.8,0,32.3,0,,0,0,65.2,30,198.3,1028.5,99.4,24.1,51.5,4.2,3,10,2026-02-25T07:36:10,2026-02-25T18:17:18,0.28,Overcast,Cloudy skies throughout the day.,cloudy,
Asse Belgium,2026-02-26,12.8,5.9,8.7,12.8,1.3,6.2,4.5,75.8,1,16.1,16.67,rain,0,0,68.8,32.4,246.8,1022.9,57.9,24.1,83.9,6.9,3,10,2026-02-26T07:34:06,2026-02-26T18:19:02,0.32,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
